train_loss,train_acc,val_loss,val_acc
2.3912054042816164,0.118,2.2947835445404055,0.15
2.2421240272521974,0.17,2.265634568532308,0.15
2.119943308830261,0.204,2.2101328214009603,0.16666666666666666
2.026125720977783,0.296,2.2001506964365642,0.21666666666666667
1.9236785078048706,0.31,2.210372813542684,0.2
1.801679181098938,0.36,2.100580032666524,0.24166666666666667
1.6387006549835206,0.422,2.093872292836507,0.3
1.5400546712875367,0.448,2.012668474515279,0.3416666666666667
1.4187662343978882,0.506,1.84859987894694,0.35
1.2343988304138183,0.562,1.7726578791936238,0.425
